の,の
て,て
は,は
で,だ
た,た
に,に
が,が
を,を
と,と
し,する
も,も
で,で
い,いる
ます,ます
か,か
です,です
ある,ある
いう,いう
ない,ない
から,から
ない,ない
なる,なる
お,お
その,その
一,いち
それ,それ
いい,よい
人,ひと
何,なに
き,くる
もの,もの
見る,みる
いけ,いく
よ,よ
そう,そう
方,かた
時,とき
ね,ね
私,わたくし
でき,できる
さん,さん
二,に
や,や
どう,どう
この,この
まで,まで
だけ,だけ
てる,てる
3,さん
中,ちゅう
ところ,ところ
たい,たい
わかる,わかる
自分,じぶん
へ,へ
これ,これ
など,など
今,いま
日,ひ
後,あと
やっ,やる
出,でる
十,じゅう
二十,にじゅう
三十,さんじゅう
前,まえ
聞い,きく
目,め
たち,たち
年,ねん
たり,たり
また,また
五,ご
五十,ごじゅう
下され,くださる
知っ,しる
はいっ,はいる
ヨリ,より
持ツ,もつ
もう,もう
使い,つかう
ぐらい,くらい
うち,うち
4,よん
四十,よんじゅう
上,うえ
等,とう
ながら,ながら
たび,たび
あなた,あなた
つ,つ
とり,とる
置い,おく
出す,だす
家,いえ
同じ,おなじ
手,て
話,はなし
時間,じかん
男,おとこ
どこ,どこ
そこ,そこ
よく,よく
みな,みな
誰,だれ
いつ,いつ
私,し
万,まん
顔,かお
まだ,まだ
多く,おおい
車,しゃ
ここ,ここ
子ども,こども
かけ,かける
六,ろく
六十,ろくじゅう
しかし,しかし
月,がつ
教え,おしえる
入れ,いれる
本当,ほんとう
少し,すこし
8,はち
八十,はちじゅう
円,えん
女,おんな
しか,しか
違っ,ちがう
つくっ,つくる
先,さき
あげ,あげる
２人,ふたり
七,なな
七十,ななじゅう
悪い,わるい
百,ひゃく
二百,にひゃく
五百,ごひゃく
三百,さんびゃく
四百,よんひゃく
六百,ろっぴゃく
七百,ななひゃく
八百,はっぴゃく
声,こえ
書き,かく
余り,あまり
そして,そして
歳,さい
一人,ひとり
分,ふん
仕事,しごと
すぐ,すぐ
こんな,こんな
言葉,ことば
かかる,かかる
下,した
買っ,かう
電話,でんわ
ちょっと,ちょっと
母,ぼ
なぜ,なぜ
どんな,どんな
好き,すき
九,きゅう
九十,きゅうじゅう
九百,きゅうひゃく
店,みせ
頭,とう
頃,ころ
高い,たかい
意味,いみ
質問,しつもん
どの,どの
たべ,たべる
問題,もんだい
口,くち
体,たい
会社,かいしゃ
本,ほん
今日,きょう
一緒,いっしょ
大きく,おおきい
いちばん,いちばん
切る,きる
話し,はなす
0,れい
回,かい
どちら,どちら
呑ん,のむ
父,ちち
ほしい,ほしい
早く,はやい
帰る,かえる
わ,わ
先生,せんせい
次,つぎ
部屋,へや
立ち,たつ
結婚,けっこん
長く,ながい
いずれ,いずれ
呼ば,よぶ
待ち,まつ
会う,あう
うまく,うまい
か月,かげつ
風,かぜ
こちら,こちら
外,がい
とても,とても
開か,ひらく
千,せん
二千,にせん
五千,ごせん
三千,さんぜん
四千,よんせん
八千,はっせん
六千,ろくせん
七千,ななせん
九千,きゅうせん
名前,なまえ
詠む,よむ
のっ,のる
いろいろ,いろいろ
死ん,しぬ
強い,つよい
水,みず
夜,よる
はじめて,はじめて
側,がわ
少なく,すくない
いや,いや
歩い,あるく
クニ,くに
大な,おおきな
